year,race_name,driverRef,constructor_name,grid,qualifying_pos,grid_penalty,positionOrder,driver_points_pre_race,driver_pos_pre_race,driver_form,team_form,constructor_points_pre_race,top3,top10,DNF,pos_gain_loss,circuit_passability,driver_track_history,team_history
2023,Azerbaijan Grand Prix,hulkenberg,Haas F1 Team,0,17,-17,17,6.0,9.0,10.38812785388128,12.127853881278538,7.0,0,0,0,-17,-0.57,16.333333333333332,14.390243902439025
2023,Azerbaijan Grand Prix,bottas,Alfa Romeo,13,14,-1,18,4.0,11.0,12.5662100456621,12.205479452054796,6.0,0,0,0,-5,-0.57,8.0,13.21951219512195
2023,Azerbaijan Grand Prix,zhou,Alfa Romeo,15,16,-1,19,2.0,15.0,11.844748858447488,12.205479452054796,6.0,0,0,1,-4,-0.57,18.0,13.21951219512195
2023,Azerbaijan Grand Prix,de_vries,AlphaTauri,18,20,-2,20,0.0,20.0,14.45662100456621,12.5,2.0,0,0,1,-2,-0.57,12.0,11.926229508196721
2023,Miami Grand Prix,max_verstappen,Red Bull,9,9,0,1,93.0,1.0,1.588235294117647,1.914528227398342,180.0,1,1,0,8,-1.15,1.0,6.686991869918699
2023,Miami Grand Prix,perez,Red Bull,1,1,0,2,87.0,2.0,2.2408211606790367,1.914528227398342,224.0,1,1,0,-1,-1.15,4.0,6.686991869918699
2023,Miami Grand Prix,alonso,Aston Martin,2,2,0,3,60.0,3.0,3.394788787998421,5.972562179234109,87.0,1,1,0,-1,-1.15,11.0,11.943181818181818
2023,Miami Grand Prix,russell,Mercedes,6,6,0,4,28.0,7.0,9.854322937228584,7.21002763521516,76.0,0,1,0,2,-1.15,5.0,4.199186991869919
2023,Miami Grand Prix,sainz,Ferrari,3,3,0,5,34.0,5.0,6.99249901302803,8.815436241610737,62.0,0,1,0,-2,-1.15,3.0,6.703252032520325
2023,Miami Grand Prix,hamilton,Mercedes,13,13,0,6,48.0,4.0,4.565732333201737,7.21002763521516,96.0,0,1,0,7,-1.15,6.0,4.199186991869919
2023,Miami Grand Prix,leclerc,Ferrari,7,7,0,7,28.0,6.0,10.638373470193445,8.815436241610737,78.0,0,1,0,0,-1.15,2.0,6.703252032520325
2023,Miami Grand Prix,gasly,Alpine F1 Team,5,5,0,8,4.0,14.0,12.079352546387684,12.927556257402289,8.0,0,1,0,-3,-1.15,18.0,10.056818181818182
2023,Miami Grand Prix,ocon,Alpine F1 Team,8,8,0,9,4.0,13.0,13.7757599684169,12.927556257402289,14.0,0,1,0,-1,-1.15,8.0,10.056818181818182
2023,Miami Grand Prix,kevin_magnussen,Haas F1 Team,4,4,0,10,1.0,18.0,13.5250690880379,13.261744966442953,7.0,0,1,0,-6,-1.15,16.0,14.390243902439025
2023,Miami Grand Prix,tsunoda,AlphaTauri,17,17,0,11,2.0,16.0,10.328859060402683,13.48697196999605,2.0,0,0,0,6,-1.15,12.0,11.926229508196721
